Gene	Control	Control_r	shPTB	shPTB_r	shPTBnPTB	shPTBnPTB_r
DCC	0	0	0	2	1	0
DCD	0	0	0	0	0	0
DCDC1	0	1	1	0	0	0
DCDC2	0	0	0	0	1	0
DCDC2B	6	5	6	3	3	1
DCDC2C	0	0	0	0	0	0
DCDC5	0	0	0	0	3	0
DCHS1	20	18	15	4	8	9
DCHS2	29	5	33	12	58	17
DCK	30	20	33	43	37	21
DCLK1	2	6	59	31	47	42
DCLK2	18	29	34	9	77	36
DCLK3	0	0	0	0	0	0
DCLRE1A	8	14	17	3	32	11
DCLRE1B	1	3	3	2	4	1
DCLRE1C	45	34	34	23	59	26
DCN	6210	5016	6381	3398	6886	4658
DCP1A	12	5	32	18	25	17
DCP1B	19	19	39	16	28	16
DCP2	78	55	42	22	63	30
DCPS	22	9	30	8	15	11
DCST1	0	7	0	0	0	0
DCST2	0	0	0	0	1	1
DCSTAMP	0	0	0	1	1	0
DCT	0	0	0	0	0	0
DCTD	109	81	71	44	133	82
DCTN1	641	520	1126	537	722	391
DCTN1-AS1	4	2	1	4	5	2
DCTN2	352	287	613	350	567	360
DCTN3	106	99	226	165	217	131
DCTN4	158	150	277	123	389	223
DCTN5	45	40	74	45	74	55
DCTN6	97	66	110	88	155	67
DCTPP1	8	6	8	2	2	1
DCUN1D1	95	73	120	50	107	61
DCUN1D2	13	9	22	17	42	22
DCUN1D3	4	3	1	2	6	5
DCUN1D4	88	53	153	58	205	211
DCUN1D5	62	64	76	23	160	78
DCX	0	0	0	0	0	0
DCXR	46	18	42	10	43	27
DDA1	42	34	130	55	88	76
DDAH1	131	100	104	59	136	78
DDAH2	40	27	124	40	90	54
DDB1	1833	1454	2860	1375	3086	1947
DDB2	126	128	134	33	150	86
DDC	0	0	0	0	0	0
DDC-AS1	0	0	0	0	0	0
DDHD1	27	23	40	49	46	28
DDHD2	120	104	373	209	165	107
DDI1	0	0	1	0	0	0
DDI2	13	23	26	13	29	20
DDIAS	0	0	1	0	1	0
DDIT3	41	21	99	48	237	127
DDIT4	87	84	16	4	34	15
DDIT4L	0	1	11	8	1	2
DDN	0	0	0	0	0	0
DDO	0	0	3	0	0	1
DDOST	702	467	1297	670	1805	1114
DDR1	79	80	97	39	117	63
DDR2	1108	960	1198	713	806	557
DDRGK1	115	98	209	76	218	129
DDT	23	15	28	23	34	21
DDTL	38	25	56	36	68	43
DDX1	326	343	603	330	982	614
DDX10	68	57	102	56	141	110
DDX11	25	28	49	28	53	46
DDX11-AS1	0	0	0	0	0	1
DDX11L1	0	0	0	0	0	0
DDX11L10	0	0	0	0	0	0
DDX11L16	0	0	0	0	0	0
DDX11L2	0	0	0	0	4	1
DDX11L5	0	0	0	0	0	0
DDX11L9	0	0	0	0	0	0
DDX12P	4	1	2	1	2	5
DDX17	1104	799	889	465	1075	705
DDX18	214	140	271	121	450	272
DDX19A	83	97	147	52	178	114
DDX19B	46	34	68	46	94	57
DDX20	82	55	64	53	77	63
DDX21	337	252	748	359	884	554
DDX23	197	180	361	164	370	223
DDX24	119	65	220	127	222	145
DDX25	0	0	0	0	0	0
DDX26B	20	13	25	10	28	11
DDX26B-AS1	0	0	0	0	0	0
DDX27	131	121	282	134	361	257
DDX28	0	0	0	0	0	0
DDX31	29	35	63	39	66	49
DDX39A	47	39	199	92	227	138
DDX39B	176	204	343	202	393	203
DDX3X	1299	1006	1562	827	1570	1048
DDX3Y	0	0	0	0	0	0
DDX4	0	0	0	0	0	0
DDX41	151	122	235	108	86	53
DDX42	214	179	474	225	594	381
DDX43	1	1	12	7	22	11
DDX46	159	155	446	231	451	353
DDX47	203	184	248	144	283	177
DDX49	113	89	247	117	294	174
DDX5	1178	972	1819	959	1827	1193
DDX50	232	201	341	174	537	358
DDX51	17	13	33	5	23	18
DDX52	150	105	153	68	139	85
DDX53	0	0	0	0	0	0
DDX54	118	108	223	86	379	178
DDX55	59	30	82	45	100	58
DDX56	151	146	243	141	271	159
DDX58	46	47	173	82	126	60
DDX59	12	8	15	10	38	13
DDX6	619	484	802	445	464	288
DDX60	126	150	157	88	137	80
DDX60L	66	57	224	95	119	89
DEAF1	59	38	89	44	80	64
DEAR	4	9	28	15	61	40
DEC1	1	1	1	0	1	0
DECR1	194	155	232	116	206	130
DECR2	14	12	37	10	23	15
DEDD	26	28	41	13	34	19
DEDD2	10	9	22	13	23	12
DEF6	1	0	0	0	2	1
DEF8	66	55	129	58	124	74
DEFA1	0	0	0	0	0	0
DEFA10P	0	0	0	0	0	0
DEFA11P	0	0	0	0	0	0
DEFA1B	0	0	0	0	0	0
DEFA3	0	0	0	0	0	0
DEFA4	0	0	0	0	0	0
DEFA5	0	0	0	0	0	0
DEFA6	0	0	0	0	0	0
DEFA8P	0	0	0	0	0	0
DEFA9P	0	0	0	0	0	0
DEFB1	0	0	0	0	0	0
DEFB103A	0	0	0	0	0	0
DEFB103B	0	0	0	0	0	0
DEFB104A	0	0	0	0	0	0
DEFB104B	0	0	0	0	0	0
DEFB105A	0	0	0	0	0	0
DEFB105B	0	0	0	0	0	0
DEFB106A	0	0	0	0	0	0
DEFB106B	0	0	0	0	0	0
DEFB107A	0	0	0	0	0	0
DEFB107B	0	0	0	0	0	0
DEFB108B	0	0	0	0	0	0
DEFB109P1	1	0	1	0	1	0
DEFB109P1B	0	0	0	0	0	0
DEFB110	0	0	0	0	0	0
DEFB112	0	0	0	0	0	0
DEFB113	0	0	0	0	0	0
DEFB114	0	0	0	0	0	0
DEFB115	0	0	0	0	0	0
DEFB116	0	0	0	0	0	0
DEFB118	0	0	0	0	0	0
DEFB119	0	0	0	0	0	0
DEFB121	0	0	0	0	0	0
DEFB122	0	0	0	0	0	0
DEFB123	0	0	0	0	0	0
DEFB124	0	0	0	0	0	0
DEFB125	0	0	0	0	0	0
DEFB126	0	0	0	0	0	0
DEFB127	0	0	0	0	0	0
DEFB128	0	0	0	0	0	0
DEFB129	0	0	0	0	0	0
DEFB130	0	0	0	0	0	0
DEFB131	0	0	0	0	0	0
DEFB132	0	0	0	0	0	0
DEFB133	0	0	0	0	0	0
DEFB134	0	0	0	0	0	0
DEFB135	0	0	0	0	0	0
DEFB136	0	0	0	0	0	0
DEFB4A	0	0	0	0	0	0
DEFB4B	0	0	0	0	0	0
DEFT1P	0	0	0	0	0	0
DEFT1P2	0	0	0	0	0	0
DEGS1	34	27	32	20	45	27
DEGS2	0	0	0	0	0	0
DEK	501	426	334	201	300	204
DENND1A	61	29	50	36	87	38
DENND1B	16	30	30	10	34	38
DENND1C	0	0	0	0	0	0
DENND2A	1	2	10	3	0	1
DENND2C	15	16	37	20	45	28
DENND2D	23	9	16	6	20	13
DENND3	9	4	87	24	21	16
DENND4A	96	84	172	100	287	201
DENND4B	17	19	42	14	48	28
DENND4C	286	189	545	258	362	204
DENND5A	229	152	729	333	780	463
DENND5B	40	34	80	46	55	30
DENND5B-AS1	1	1	0	0	3	1
DENND6A	69	45	60	36	93	45
DENND6B	15	23	33	10	17	10
DENR	76	49	53	51	135	112
DEPDC1	0	1	0	1	0	1
DEPDC1-AS1	0	0	0	0	0	0
DEPDC1B	1	3	3	0	1	0
DEPDC4	0	0	2	1	1	1
DEPDC5	43	35	85	24	44	46
DEPDC7	22	17	19	15	15	9
DEPTOR	24	24	25	13	27	7
DERA	80	76	115	61	111	56
DERL1	145	123	265	187	412	266
DERL2	98	91	190	72	195	139
DERL3	0	0	2	0	1	1
DES	2	3	10	0	6	6
DESI1	37	19	147	62	157	99
DESI2	40	41	33	15	36	21
DET1	3	4	17	2	16	6
DEXI	0	0	0	0	0	0
DFFA	35	39	78	47	74	34
DFFB	7	5	4	1	6	7
DFNA5	38	36	87	55	39	25
DFNB31	1	2	3	0	4	4
DFNB59	1	2	4	0	5	1
DGAT1	46	26	86	40	69	49
DGAT2	1	5	3	1	11	6
DGAT2L6	0	0	0	0	0	0
DGCR10	0	0	0	0	0	0
DGCR11	6	4	7	6	12	1
DGCR14	30	14	87	32	64	37
DGCR2	49	41	54	30	91	25
DGCR5	0	0	0	0	0	0
DGCR6	2	1	2	2	3	2
DGCR6L	66	28	59	25	55	43
DGCR8	94	81	77	35	80	44
DGCR9	0	0	0	0	0	0
DGKA	76	65	170	62	141	78
DGKB	0	0	0	0	2	1
DGKD	24	18	16	12	49	33
DGKE	10	13	4	4	9	4
DGKG	0	0	1	0	0	0
DGKH	44	37	86	62	102	53
DGKI	52	25	82	40	45	30
DGKK	0	0	0	0	0	0
DGKQ	42	37	69	38	47	25
DGKZ	118	80	218	79	211	113
DGUOK	127	90	194	97	285	176
DGUOK-AS1	23	12	37	19	65	25
DHCR24	104	92	60	36	25	17
DHCR7	43	39	44	12	16	6
DHDDS	38	35	183	104	111	62
DHDH	0	0	0	0	0	0
DHFR	17	17	23	12	50	36
DHFRL1	0	0	0	0	0	0
DHH	0	0	0	0	0	0
DHODH	13	6	9	8	17	8
DHPS	79	91	179	82	177	96
DHRS1	20	12	31	14	31	26
DHRS11	6	2	5	1	8	9
DHRS12	6	14	7	6	11	5
DHRS13	0	0	1	0	0	1
DHRS2	2	0	1	0	1	0
DHRS3	77	57	11	6	24	8
DHRS4	71	96	81	41	99	48
DHRS4-AS1	5	5	10	1	10	3
DHRS4L1	0	0	0	0	0	12
DHRS4L2	9	4	1	3	5	37
DHRS7	86	79	216	149	162	110
DHRS7B	38	18	43	21	50	17
DHRS7C	0	0	0	0	0	0
DHRS9	0	0	0	0	0	0
DHRSX	0	0	0	0	0	0
DHTKD1	32	19	71	47	54	41
DHX15	463	366	493	299	466	302
DHX16	109	110	226	105	251	138
DHX29	313	224	456	265	623	471
DHX30	154	119	292	120	212	136
DHX32	87	79	168	90	207	118
DHX33	23	22	44	24	53	32
DHX34	22	8	19	7	22	12
DHX35	51	44	54	31	64	54
DHX36	199	172	284	145	350	245
DHX37	18	14	51	21	64	34
DHX38	156	121	292	158	364	222
DHX40	366	330	547	259	501	287
DHX57	73	58	113	42	76	48
DHX58	18	11	39	15	34	15
DHX8	147	121	278	134	224	150
DHX9	585	493	828	392	816	470
DIABLO	47	47	62	50	122	54
DIAPH1	44	33	132	80	149	72
DIAPH2	142	110	277	127	242	120
DIAPH2-AS1	3	0	0	5	0	0
DIAPH3	31	15	23	9	17	6
DIAPH3-AS1	10	5	4	6	4	1
DIAPH3-AS2	0	0	3	0	0	0
DICER1	408	334	395	215	444	285
DICER1-AS1	0	0	3	0	2	3
DIDO1	44	47	65	28	77	41
DIEXF	26	29	125	64	98	62
DIMT1	162	65	183	84	165	122
DIO1	0	0	0	0	0	0
DIO2	1	0	0	0	0	0
DIO2-AS1	0	0	0	0	0	0
DIO3	0	0	0	0	0	0
DIO3OS	0	0	0	0	0	0
DIP2A	79	61	109	52	97	69
DIP2A-IT1	8	20	12	4	8	12
DIP2B	151	155	303	162	304	212
DIP2C	38	35	232	93	132	94
DIRAS1	0	0	1	0	0	1
DIRAS2	0	0	0	0	0	0
DIRAS3	0	0	0	0	1	0
DIRC1	4	1	3	1	3	1
DIRC2	38	18	61	27	77	32
DIRC3	0	0	5	1	3	1
DIS3	222	160	416	214	388	287
DIS3L	65	63	34	25	51	40
DIS3L2	26	17	59	21	60	32
DISC1	14	11	7	8	10	3
DISC1-IT1	2	0	1	2	0	0
DISC1FP1	0	0	0	0	0	0
DISC2	0	0	0	0	3	0
DISP1	6	10	9	5	13	7
DISP2	4	1	12	4	9	4
DIXDC1	146	87	65	40	48	36
DKC1	75	54	90	55	177	104
DKFZP434A062	0	0	0	0	0	0
DKFZP434H168	0	0	0	0	0	1
DKFZP434I0714	0	0	0	0	0	0
DKFZP434K028	0	0	0	0	0	0
DKFZP434L187	9	0	0	0	3	0
DKFZP586I1420	0	0	0	0	0	0
DKFZp434J0226	0	0	0	0	0	0
DKFZp434L192	0	0	0	0	0	0
DKFZp451B082	0	0	0	0	0	0
DKFZp686K1684	0	0	0	0	0	0
DKFZp779M0652	0	0	0	0	0	0
DKK1	166	116	196	97	297	213
DKK2	6	4	1	0	2	0
DKK3	504	334	632	281	719	560
DKK4	0	0	0	0	0	0
DKKL1	0	0	0	0	1	0
DLAT	103	62	158	74	204	140
DLC1	173	124	104	43	314	194
DLD	207	171	217	117	198	123
DLEC1	0	2	0	1	0	1
DLEU1	2	2	3	2	11	6
DLEU1-AS1	0	0	0	0	0	0
DLEU2	11	13	23	10	18	6
DLEU2L	0	0	10	5	13	10
DLEU7	0	0	0	0	0	0
DLEU7-AS1	0	0	0	0	0	0
DLG1	195	136	269	118	376	215
DLG1-AS1	0	0	1	0	1	0
DLG2	2	0	13	2	10	19
DLG3	11	8	12	4	6	5
DLG3-AS1	6	3	3	1	1	0
DLG4	31	46	101	46	116	61
DLG5	82	57	140	56	147	94
DLG5-AS1	1	1	0	0	0	0
DLGAP1	0	0	0	0	0	0
DLGAP1-AS1	3	0	5	6	5	2
DLGAP1-AS2	0	1	0	0	1	0
DLGAP1-AS3	0	0	0	0	0	0
DLGAP1-AS4	0	0	0	0	0	0
DLGAP1-AS5	0	0	0	0	0	0
DLGAP2	0	0	0	0	0	0
DLGAP2-AS1	0	0	0	0	0	0
DLGAP3	0	0	0	0	0	0
DLGAP4	1	4	6	2	4	2
DLGAP4-AS1	0	0	6	6	0	3
DLGAP5	9	2	6	4	2	0
DLK1	0	0	0	1	0	0
DLK2	0	0	0	1	1	0
DLL1	3	0	3	0	0	0
DLL3	0	0	0	0	0	0
DLL4	0	0	0	0	0	0
DLST	338	311	259	107	147	77
DLSTP1	5	7	29	8	10	9
DLX1	1	0	0	0	0	0
DLX2	0	0	0	0	1	1
DLX2-AS1	0	0	0	0	0	0
DLX3	0	0	0	0	0	0
DLX4	0	0	0	0	0	0
DLX5	0	0	0	0	0	1
DLX6	0	0	0	0	0	0
DLX6-AS1	0	0	0	0	0	0
DMAP1	45	29	36	24	43	19
DMBT1	0	0	2	5	4	2
DMBT1P1	0	0	0	0	0	0
DMBX1	0	0	0	0	0	1
DMC1	4	8	2	0	2	0
DMD	8	9	35	20	33	22
DMGDH	4	9	15	2	16	10
DMKN	6	13	91	46	102	44
DMP1	0	0	0	0	0	0
DMPK	87	72	384	173	131	69
DMRT1	0	0	0	0	0	0
DMRT2	0	0	0	0	0	1
DMRT3	0	0	0	0	0	0
DMRTA1	0	0	0	0	0	0
DMRTA2	0	0	0	0	0	0
DMRTB1	0	0	0	0	0	0
DMRTC1	0	0	0	0	0	0
DMRTC1B	0	0	0	0	0	0
DMRTC2	0	0	0	0	0	0
DMTF1	169	114	169	93	305	225
DMTN	3	0	0	1	0	1
DMWD	7	5	14	8	12	9
DMXL1	269	204	447	251	468	246
DMXL2	70	73	102	77	162	124
DNA2	30	22	62	19	57	38
DNAAF1	0	0	0	1	0	1
DNAAF2	4	5	10	6	10	4
DNAAF3	0	0	1	0	1	0
DNAAF5	23	15	25	16	16	10
DNAH1	20	19	67	19	38	32
DNAH10	12	19	7	5	22	9
DNAH11	4	3	9	0	7	6
DNAH12	4	0	8	3	6	5
DNAH14	21	13	36	25	62	36
DNAH17	4	4	4	5	6	3
DNAH17-AS1	0	0	0	0	1	0
DNAH2	3	3	1	0	0	0
DNAH3	4	2	8	4	11	9
DNAH5	27	14	34	11	14	14
DNAH6	3	5	5	5	4	8
DNAH7	2	4	15	9	7	2
DNAH8	0	0	0	0	0	0
DNAH9	0	0	0	0	0	0
DNAI1	0	0	0	0	0	0
DNAI2	0	0	0	0	0	0
DNAJA1	474	338	608	299	612	426
DNAJA1P5	0	0	0	0	0	0
DNAJA2	275	211	522	278	551	347
DNAJA3	80	46	139	85	223	152
DNAJA4	2	3	20	3	3	2
DNAJB1	1	1	1	0	0	0
DNAJB11	162	126	354	182	588	409
DNAJB12	46	30	71	23	69	27
DNAJB13	0	0	0	0	0	0
DNAJB14	97	95	134	83	158	100
DNAJB2	77	50	184	70	97	66
DNAJB3	0	0	0	0	0	0
DNAJB4	0	0	0	0	1	0
DNAJB5	2	4	11	3	5	2
DNAJB5-AS1	0	0	0	0	0	0
DNAJB6	266	224	402	262	220	136
DNAJB7	0	3	0	0	0	0
DNAJB8	0	0	0	0	0	0
DNAJB8-AS1	0	0	0	0	0	0
DNAJB9	17	15	54	38	80	44
DNAJC1	72	65	62	55	152	89
DNAJC10	321	254	1125	668	537	340
DNAJC11	104	83	241	98	196	157
DNAJC12	0	2	11	7	24	10
DNAJC13	618	515	1856	1000	1810	1108
DNAJC14	45	45	107	46	88	49
DNAJC15	81	57	114	67	124	88
DNAJC16	61	47	63	50	69	34
DNAJC17	31	28	36	18	55	59
DNAJC18	17	16	31	11	51	20
DNAJC19	109	66	153	64	143	125
DNAJC2	87	77	150	74	239	150
DNAJC21	154	133	285	117	346	212
DNAJC22	0	0	0	0	0	0
DNAJC24	16	34	18	10	16	3
DNAJC25	10	9	15	7	20	15
DNAJC25-GNG10	13	27	52	18	58	34
DNAJC27	10	4	19	3	7	9
DNAJC27-AS1	1	1	1	1	1	2
DNAJC28	0	1	1	0	3	0
DNAJC3	175	133	356	183	465	277
DNAJC3-AS1	0	0	0	0	0	0
DNAJC30	0	0	0	0	0	0
DNAJC4	6	5	9	3	10	11
DNAJC5	37	28	96	42	71	25
DNAJC5B	0	0	0	0	1	0
DNAJC5G	0	0	0	0	0	0
DNAJC6	18	19	20	10	29	17
DNAJC7	269	285	533	258	487	322
DNAJC8	199	155	337	234	404	310
DNAJC9	15	8	16	7	12	18
DNAJC9-AS1	11	5	12	9	4	6
DNAL1	32	22	86	37	58	47
DNAL4	13	13	42	12	27	14
DNALI1	3	1	21	2	5	3
DNASE1	12	11	18	10	7	10
DNASE1L1	60	31	123	69	131	75
DNASE1L2	1	1	2	0	4	1
DNASE1L3	0	0	2	1	1	0
DNASE2	44	30	138	64	51	32
DNASE2B	0	0	0	0	0	0
DND1	6	4	3	2	2	5
DNER	0	0	2	5	7	3
DNHD1	11	3	18	6	22	17
DNLZ	13	4	17	4	15	8
DNM1	53	45	17	14	55	54
DNM1L	275	218	481	246	331	198
DNM1P35	0	0	0	0	0	0
DNM1P41	0	0	0	0	0	0
DNM1P46	0	3	2	1	1	2
DNM2	175	157	178	76	194	113
DNM3	16	18	29	14	27	16
DNM3-IT1	0	0	0	0	0	0
DNM3OS	0	0	1	0	0	0
DNMBP	39	19	78	46	85	37
DNMBP-AS1	11	10	32	33	24	14
DNMT1	148	101	222	113	234	184
DNMT3A	34	30	20	12	27	17
DNMT3B	10	5	44	16	45	31
DNMT3L	0	0	0	0	1	1
DNPEP	134	84	200	84	214	124
DNPH1	17	15	44	12	36	16
DNTT	0	0	0	0	0	0
DNTTIP1	36	32	41	25	40	28
DNTTIP2	36	41	102	55	61	38
DOC2A	1	0	0	0	0	1
DOC2B	0	0	1	0	2	0
DOC2GP	0	0	0	0	1	2
DOCK1	383	290	786	420	435	292
DOCK10	270	194	329	164	321	207
DOCK11	388	313	654	438	832	546
DOCK2	26	15	19	6	15	9
DOCK3	4	3	6	2	19	9
DOCK4	74	85	230	95	136	82
DOCK4-AS1	5	0	5	2	2	0
DOCK5	182	176	440	189	422	259
DOCK6	18	11	17	8	19	11
DOCK7	539	391	624	379	570	317
DOCK8	1	1	4	3	4	3
DOCK9	117	101	188	75	121	67
DOCK9-AS1	9	3	7	6	3	0
DOCK9-AS2	0	0	0	0	0	0
DOHH	3	4	7	7	7	2
DOK1	22	8	31	25	32	28
DOK2	0	0	0	0	0	0
DOK3	0	0	1	0	0	0
DOK4	49	34	66	32	37	38
DOK5	4	0	8	5	13	13
DOK6	2	0	2	3	3	1
DOK7	0	0	0	0	0	0
DOLK	0	0	0	0	0	0
DOLPP1	26	10	45	15	39	24
DONSON	24	19	26	15	60	40
DOPEY1	92	92	221	105	218	143
DOPEY2	12	21	53	30	50	32
DOT1L	20	13	19	18	30	15
DPAGT1	30	20	57	28	43	37
DPCD	49	30	92	33	42	27
DPCR1	0	0	0	0	0	0
DPEP1	1	2	0	0	0	0
DPEP2	0	0	0	0	0	0
DPEP3	0	0	0	0	0	0
DPF1	0	1	0	0	1	0
DPF2	81	68	91	43	123	73
DPF3	6	5	8	3	10	7
DPH1	114	95	156	75	186	108
DPH2	7	2	10	4	24	7
DPH3	6	10	45	18	51	45
DPH3P1	6	7	7	5	3	4
DPH5	45	49	69	52	114	103
DPH6	6	2	1	1	7	0
DPH6-AS1	0	0	0	0	0	0
DPH7	36	28	36	10	33	26
DPM1	178	129	254	156	403	204
DPM2	17	12	20	10	20	11
DPM3	3	1	6	2	5	1
DPP10	0	0	0	0	0	0
DPP10-AS1	0	0	0	0	0	0
DPP10-AS3	0	0	0	0	0	0
DPP3	123	88	188	106	186	104
DPP4	447	359	743	393	720	434
DPP6	0	0	0	0	0	0
DPP7	239	195	335	162	300	190
DPP8	149	110	232	123	170	130
DPP9	36	39	159	63	132	77
DPP9-AS1	5	3	12	13	16	8
DPPA2	0	0	0	0	0	0
DPPA2P3	0	0	0	0	0	0
DPPA3	0	0	0	0	0	0
DPPA4	0	0	0	0	0	0
DPPA5	0	0	0	0	0	0
DPRX	0	0	0	0	0	0
DPRXP4	6	5	3	2	1	2
DPT	242	211	46	25	50	34
DPY19L1	314	248	185	115	62	55
DPY19L1P1	37	43	26	13	46	21
DPY19L1P2	4	2	2	0	0	0
DPY19L2	7	2	3	0	7	3
DPY19L2P1	0	0	0	0	0	0
DPY19L2P2	3	0	2	0	1	2
DPY19L2P3	0	0	0	0	0	0
DPY19L2P4	0	0	0	0	0	0
DPY19L3	50	52	54	28	252	108
DPY19L4	244	219	216	103	108	66
DPY30	107	81	76	66	86	44
DPYD	345	211	118	81	132	89
DPYD-AS1	35	34	16	11	8	7
DPYD-AS2	1	93	0	33	3	0
DPYS	1	1	0	0	1	1
DPYSL2	885	664	1234	532	717	398
DPYSL3	76	95	133	67	84	52
DPYSL4	31	13	28	10	36	15
DPYSL5	0	0	0	0	0	0
DQX1	0	0	0	0	2	0
DR1	19	17	28	16	40	11
DRAIC	0	0	0	0	0	0
DRAM1	167	111	185	82	90	35
DRAM2	159	161	272	103	171	120
DRAP1	429	329	808	429	924	698
DRAXIN	0	1	1	0	0	1
DRC1	0	0	0	0	2	0
DRC3	11	1	5	3	7	2
DRC7	0	0	0	0	0	0
DRD1	0	0	0	0	0	0
DRD2	0	0	0	0	0	0
DRD3	0	0	0	0	0	0
DRD4	0	0	0	0	0	0
DRD5	0	0	0	0	0	0
DRD5P2	0	0	0	0	0	0
DRG1	146	131	198	100	219	130
DRG2	81	52	144	55	126	71
DRGX	0	0	0	0	0	0
DRICH1	0	0	0	0	0	0
DROSHA	47	34	123	59	111	50
DRP2	2	4	5	2	0	0
DSC1	0	0	0	0	0	1
DSC2	0	0	0	0	0	0
DSC3	0	0	0	0	0	0
DSCAM	0	0	0	3	0	0
DSCAM-AS1	0	0	0	0	0	0
DSCAM-IT1	0	0	0	0	0	0
DSCAML1	0	0	0	0	0	0
DSCAS	0	0	0	0	0	0
DSCC1	14	9	17	4	18	4
DSCR10	0	0	0	0	0	0
DSCR3	42	41	125	72	205	127
DSCR4	0	0	0	0	0	0
DSCR8	0	0	0	0	0	0
DSCR9	0	1	0	0	0	0
DSE	60	42	42	19	77	64
DSEL	0	0	0	0	0	0
DSG1	0	0	0	0	0	0
DSG1-AS1	0	0	0	0	0	0
DSG2	0	0	0	0	1	0
DSG2-AS1	0	0	0	0	0	0
DSG3	0	0	0	0	0	0
DSG4	0	0	0	0	0	0
DSN1	16	18	34	23	43	25
DSP	73	52	78	27	57	39
DSPP	0	0	0	0	0	0
DST	5196	4364	6586	3637	5779	3700
DSTN	350	268	344	199	255	182
DSTNP2	0	0	0	0	0	1
DSTYK	38	31	126	59	77	45
DTD1	54	31	58	38	98	66
DTD2	18	24	5	3	6	6
DTHD1	0	0	0	0	0	0
DTL	0	2	1	2	0	6
DTNA	37	25	119	45	65	32
DTNB	10	9	0	2	10	11
DTNBP1	3	1	4	3	4	3
DTWD1	60	72	34	10	37	26
DTWD2	1	2	3	2	14	5
DTX1	0	0	0	0	0	0
DTX2	1	1	14	1	14	9
DTX2P1-UPK3BP1-PMS2P11	3	0	2	2	2	1
DTX3	10	14	8	6	22	5
DTX3L	12	14	19	10	19	10
DTX4	0	1	4	0	1	2
DTYMK	27	24	27	11	25	17
DUBR	0	1	4	1	0	1
DUOX1	1	1	1	1	2	1
DUOX2	0	0	0	0	0	0
DUOXA1	0	0	0	0	0	0
DUOXA2	0	0	0	0	0	0
DUPD1	1	0	0	0	0	0
DUS1L	64	42	134	60	173	86
DUS2	26	37	57	22	52	38
DUS3L	21	15	35	22	28	18
DUS4L	9	4	6	7	12	5
DUSP1	32	17	24	11	31	14
DUSP10	0	1	4	0	1	1
DUSP11	123	53	66	29	62	24
DUSP12	49	36	56	24	91	56
DUSP13	0	0	0	0	0	0
DUSP14	4	5	12	5	8	4
DUSP15	3	0	0	2	3	0
DUSP16	2	2	9	6	12	5
DUSP18	4	1	8	5	7	0
DUSP19	0	0	1	1	0	1
DUSP2	1	0	0	0	1	0
DUSP21	0	0	0	0	0	0
DUSP22	14	17	41	19	33	14
DUSP23	0	1	1	3	1	1
DUSP26	0	0	0	0	0	0
DUSP27	0	1	1	1	0	0
DUSP28	1	1	3	1	2	2
DUSP3	6	4	19	9	24	24
DUSP4	6	14	27	8	52	24
DUSP5	1	5	32	14	12	9
DUSP5P1	0	0	0	0	0	0
DUSP6	0	0	0	0	0	0
DUSP7	0	0	0	0	0	0
DUSP8	0	0	0	0	0	0
DUSP9	0	0	0	0	0	0
DUT	148	129	211	114	315	239
DUX4	0	0	0	0	0	0
DUXA	0	0	0	0	0	0
DUXAP10	2	6	6	3	10	5
DUXAP8	4	4	1	30	11	2
DVL1	165	143	301	127	348	228
DVL2	99	76	208	98	258	148
DVL3	75	52	179	87	214	104
DXO	29	13	25	10	29	21
DYDC1	0	0	0	0	0	0
DYDC2	0	0	0	0	0	0
DYM	111	87	268	119	303	174
DYNAP	0	0	0	0	0	0
DYNC1H1	2181	1755	7205	3621	7354	4821
DYNC1I1	2	2	4	3	16	7
DYNC1I2	450	364	900	427	828	520
DYNC1LI1	125	116	205	139	219	172
DYNC1LI2	489	368	1165	627	1314	804
DYNC2H1	593	517	1071	596	932	591
DYNC2LI1	133	80	134	77	158	70
DYNLL1	44	37	87	38	56	50
DYNLL2	21	12	14	13	23	22
DYNLRB1	45	42	100	56	110	54
DYNLRB2	0	1	2	2	0	0
DYNLT1	181	136	120	56	130	113
DYNLT3	56	57	159	82	112	90
DYRK1A	52	43	68	37	121	81
DYRK1B	21	13	49	12	21	13
DYRK2	12	8	9	2	8	10
DYRK3	8	8	83	29	67	41
DYRK4	20	11	49	37	85	44
DYSF	0	0	2	0	1	0
DYTN	0	0	0	0	0	0
DYX1C1	5	4	8	8	9	7
DYX1C1-CCPG1	157	159	225	117	512	302
DZANK1	5	9	15	8	22	20
DZIP1	251	225	46	28	71	39
DZIP1L	15	16	16	15	35	14
DZIP3	51	49	106	74	104	119
E2F1	2	1	3	1	2	0
E2F2	0	0	0	0	0	0
E2F3	8	10	16	7	27	10
E2F4	78	62	99	54	101	73
E2F5	2	1	1	1	6	1
E2F6	28	23	64	33	116	75
E2F7	3	5	47	20	24	15
E2F8	0	0	0	0	0	0
E4F1	47	32	62	36	54	40
EAF1	26	26	38	28	20	13
EAF2	3	1	4	2	15	7
EAPP	72	59	55	23	81	58
EARS2	21	12	27	10	27	12
EBAG9	33	27	31	11	41	25
EBF1	140	97	120	42	92	40
EBF2	4	4	12	2	20	3
EBF3	5	7	34	10	6	6
EBF4	2	1	0	0	1	0
EBI3	0	0	0	0	1	0
EBLN1	0	0	0	0	0	0
EBLN2	21	24	16	11	45	27
EBLN3	0	1	1	2	5	2
EBNA1BP2	146	111	239	123	236	193
